formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom)
AcAlO3,5,Ac1 Al1 O3,3.85863387,3.85863387,3.85863387,90.0,90.0,90.0,cubic,Pm-3m,0.0,-8.232146192,-3.690019421,0.0,8.728230082,4.1024,True,57.45141324
AcCrO3,5,Ac1 Cr1 O3,3.9442869,3.94430226,3.9442715,90.0,90.0,90.0,cubic,Pm-3m,2.9999997,-8.862593228,-3.13897213,0.0,8.848788047,2.0031,False,61.36284504
AcCuO3,5,Ac1 Cu1 O3,3.91333125,3.91333125,3.91333125,90.0,90.0,90.0,cubic,Pm-3m,1.6e-06,-7.035745362,-2.422892424,0.0,9.380470938,0.0,False,59.92938666
AcFeO3,5,Ac1 Fe1 O3,3.95356962,3.9535675,3.95358451,90.00009246,90.0,90.0,cubic,Pm-3m,4.2542759,-8.258555312,-2.771539466,0.0,8.889999466,0.9888,False,61.79731063
AcGaO3,5,Ac1 Ga1 O3,3.94626209,3.94626209,3.94626209,90.0,90.0,90.0,cubic,Pm-3m,0.0,-7.461883426,-3.063252617,0.0,9.314495003,2.8959,False,61.45507829
AcMnO3,5,Ac1 Mn1 O3,3.96302168,3.96302168,3.96302168,90.0,90.0,90.0,cubic,Pm-3m,3.9999934,-8.599044686,-2.973630023,0.0,8.802373253,0.0,False,62.24139883
AcNiO3,5,Ac1 Ni1 O3,3.87883955,3.87883649,3.87881202,90.0,90.0,90.0,cubic,Pm-3m,2.6e-06,-7.404515516,-2.455476575,0.0,9.494942767,0.0,False,58.3582178
AcTiO3,5,Ac1 Ti1 O3,3.99582001,3.99582001,3.99582001,90.0,90.0,90.0,cubic,Pm-3m,0.1609683,-8.979745746,-3.607635738,0.0,8.403352518,0.0,False,63.79957007
AcVO3,5,Ac1 V1 O3,3.96789433,3.96789746,3.96789433,90.0,90.0,90.0,cubic,Pm-3m,2.0000001,-8.750861914,-3.141069096,0.0,8.66374623,0.0,False,62.47131331
AgAsO3,10,Ag1 As1 O3,6.389075483,6.389075483,6.389075851,45.13452662,45.13452672,45.13451435,trig,R-3,0.0,-5.741099904,-1.269711259,0.0,6.425733028,0.2921,True,119.2805516
AgIO3,40,Ag1 I1 O3,5.66928603,7.23941537,15.25444032,90.0,90.0,90.0,ortho,Pca2_1,0.0,-4.555235327,-0.713068665,0.0,5.999922076,2.4375,False,626.0775665
AgNO3,10,Ag1 N1 O3,6.201768483,6.201684965,6.201686928,49.08953044,49.08691654,49.08856255,trig,R3c,0.0,-5.885683233,-0.680663545,0.0,4.509524595,1.8539,False,125.104504
AgPO3,40,Ag1 P1 O3,5.97752081,7.317044275,13.59925276,61.66666124,90.0,90.0,mono,P2_1/c,0.0,-6.578507002,-1.958048158,0.0,4.740841827,2.0232,False,523.5448041
AgSbO3,20,Ag1 Sb1 O3,7.270079791,7.270079791,7.270079791,60.0,60.0,60.0,cubic,Fd-3m,0.0,-5.807639057,-1.44447467,0.0,6.786835394,0.0946,False,271.7080679
AgTeO3,40,Ag1 Te1 O3,6.92440761,6.518629494,13.29551785,88.99666929,90.0,90.0,mono,P2_1/c,0.0,-5.312450585,-1.146425267,0.0,6.275713149,1.5732,False,600.036388
Al3BC,10,Al3 B1 C1,3.481176444,3.481176444,11.46837206,90.0,90.0,119.9999917,hex_,P6_3/mmc,0.0,-5.52696833,-0.098011379,0.0,2.863195326,0.453,False,120.3606472
AlFe3C,5,Al1 Fe3 C1,3.78948866,3.78990736,3.78993006,90.0,90.0,90.0,cubic,Pm-3m,5.8869668,-7.837073892,-0.160212901,0.0,6.300659849,0.0,False,54.43025909
AlFe3H,5,Al1 Fe3 H1,3.69954721,3.69954826,3.69956512,90.0,90.0,90.0,cubic,Pm-3m,7.321186,-6.715165902,-0.205004722,0.0,6.412129532,0.0,False,50.63466569
AlInS3,30,Al1 In1 S3,6.771139126,6.770227804,17.96964451,89.9998925,90.00029741,120.0020705,hex_,P6_1,0.0,-11.68505014,-1.001912953,0.0,3.323848829,2.0813,False,713.3884529
AlInSe3,30,Al1 In1 Se3,7.074358422,7.068211916,18.84396187,89.99924068,90.00046465,120.0581709,hex_,P6_1,0.0,-15.31299494,-0.863921058,0.0,4.62623389,1.6333,True,815.5387503
AlSiTe3,10,Al1 Si1 Te3,6.88931547,6.88931598,7.41726321,90.0,90.0,119.9999905,trig,P-31m,0.0,-18.68388949,-0.332382316,0.0,4.769741105,1.2504,False,304.8783184
AsCl3O,20,As1 Cl3 O1,6.35824603,8.270203542,10.38806172,113.0335866,90.0,90.0,mono,P2_1/c,0.0,-4.188813655,-1.156074951,0.0,2.606670691,2.5284,False,502.6966363
Ba3BiN,10,Ba3 Bi1 N1,7.72798537,7.727984757,6.77933811,90.0,90.0,119.9999936,hex_,P6_3/mmc,0.0,-4.445894738,-0.848847363,0.0,6.014236453,0.6466,True,350.6311547
Ba3GeO,20,Ba3 Ge1 O1,7.57259814,7.72347163,10.83356778,90.0,90.0,90.0,ortho,Pnma,0.0,-4.505382822,-1.439800086,0.0,5.24793758,0.153,False,633.6201368
Ba3NaN,10,Ba3 Na1 N1,8.543396245,8.543394286,6.98639627,90.00001887,89.99999685,120.0000188,hex_,P6_3/mmc,0.0054364,-3.419354647,-0.331969978,0.0,3.376438755,0.0,False,441.6159639
Ba3PbO,5,Ba3 Pb1 O1,5.52184574,5.52184574,5.52184574,90.0,90.0,90.0,cubic,Pm-3m,2.5e-06,-4.375894106,-1.492387527,0.0,6.264600434,0.0,False,168.3653857
Ba3SbN,10,Ba3 Sb1 N1,7.62952326,7.629524376,6.73699565,90.0,90.0,119.9999952,hex_,P6_3/mmc,0.0,-4.570453707,-0.925612946,0.0,5.356336708,0.4555,True,339.6188492
Ba3SiO,20,Ba3 Si1 O1,7.57657891,7.6982159,10.80878583,90.0,90.0,90.0,ortho,Pnma,0.0,-4.542833479,-1.316792708,0.0,4.805034838,0.4217,False,630.4347581
Ba3SnO,5,Ba3 Sn1 O1,5.50211613,5.50211613,5.50211613,90.0,90.0,90.0,cubic,Pm-3m,1.4e-06,-4.474396678,-1.531505142,0.0,5.45006005,0.0,False,166.5671127
BaBiO3,20,Ba1 Bi1 O3,6.17435169,6.217179422,8.71828688,90.25395528,90.0,90.0,mono,P2_1/c,0.0,-6.364005464,-2.233427011,0.0,7.825829473,0.0,False,334.6660467
BaBiSe3,40,Ba1 Bi1 Se3,4.47920984,16.37637289,17.09756824,90.0,90.0,90.0,ortho,P2_12_12_1,0.0,-4.576548427,-1.31719969,0.0,6.177229599,0.9944,False,1254.161524
BaCO3,20,Ba1 C1 O3,5.35922589,6.41636356,8.97996254,90.0,90.0,90.0,ortho,Pnma,0.0,-7.881547381,-2.683242692,0.0,4.24472577,4.3974,False,308.7916524
BaCeO3,20,Ba1 Ce1 O3,6.25973589,6.24763379,8.81258554,90.0,90.0,90.0,ortho,Pnma,0.0,-8.129798318,-3.589836753,0.0,6.272009405,2.2207,True,344.6473317
BaCoO3,20,Ba1 Co1 O3,5.683698159,5.68449177,9.415556622,90.21787659,90.16958531,60.00059219,hex_,P6_3/mmc,3.9988418,-6.827112947,-2.047858012,0.0,6.15829064,0.0,False,263.4501234
