mp_id,formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),stable,density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom),bulk_modulus (GPa),shear_modulus (GPa)
mp-864606,AcCuO3,5,Ac1 Cu1 O3,3.91333125,3.91333125,3.91333125,90.0,90.0,90.0,cubic,Pm-3m,1.6e-06,-7.035745362,-2.422892424,0.0,True,9.380470938,0.0,False,59.92938666,163.571,81.723
mp-865927,AcTiO3,5,Ac1 Ti1 O3,3.99582001,3.99582001,3.99582001,90.0,90.0,90.0,cubic,Pm-3m,0.1609683,-8.979745746,-3.607635738,0.0,True,8.403352518,0.0,False,63.79957007,179.412,77.02
mp-558189,Ag3SI,5,Ag3 S1 I1,5.009586,5.009586,5.009586,90.0,90.0,90.0,cubic,Pm-3m,3.08e-05,-3.04893323,-0.210696186,0.116395505,False,6.373934117,0.6243,False,125.7203293,44.61,6.537
mp-776165,AgAuO3,20,Ag1 Au1 O3,7.28592645,7.28592645,7.28592645,60.0,60.0,60.0,cubic,Fd-3m,3.77e-05,-4.548984381,-0.356843842,0.059424402,False,8.569172737,0.2423,False,273.4886772,123.896,56.909
mp-775761,AgClO3,20,Ag1 Cl1 O3,6.6271587,6.6271587,6.6271587,90.0,90.0,90.0,cubic,P2_13,0.0,-4.32101794,-0.413946469,0.031584152,False,4.366022674,3.1001,False,291.0597233,33.661,7.739
mp-545999,AgSbO3,10,Ag1 Sb1 O3,6.365893471,6.365892971,6.365893763,49.61821341,49.61826084,49.61834321,trig,R-3,0.0,-5.790875897,-1.42771151,0.01676316,False,6.698918635,0.1333,True,137.6369854,-973806.641,242464568109.446
mp-10037,AlCo3C,5,Al1 Co3 C1,3.722911,3.722911,3.722911,90.0,90.0,90.0,cubic,Pm-3m,0.0001511,-7.083075222,-0.208176925,0.0313939,False,6.944422257,0.0,False,51.59979334,232.832,114.737
mp-10040,AlPt3C,5,Al1 Pt3 C1,4.18515,4.18515,4.18515,90.0,90.0,90.0,cubic,Pm-3m,2.11e-05,-6.025705158,0.211823099,0.765835721,False,14.14068851,0.0,False,73.30491331,206.681,-1.786
mp-984553,BOsO3,5,B1 Os1 O3,3.407419,3.407419,3.407419,90.0,90.0,90.0,cubic,Pm-3m,0.0104592,-6.774564064,-0.224435621,1.779122926,False,10.45298165,0.0,False,39.56185275,286.217,59.98
mp-984554,BPbO3,5,B1 Pb1 O3,3.565976,3.565976,3.565976,90.0,90.0,90.0,cubic,Pm-3m,2.13e-05,-6.110985154,-1.063800783,1.079543921,False,9.741156187,0.0,False,45.34560992,205.691,44.295
mp-1013734,Ba3AsN,5,Ba3 As1 N1,5.487585,5.487585,5.487585,90.0,90.0,90.0,cubic,Pm-3m,0.0005071,-4.495886798,-0.742821779,0.081127904,False,5.033434384,0.0,False,165.25088,38.422,27.293
mp-1013716,Ba3BiAs,5,Ba3 Bi1 As1,6.55372712,6.55372712,6.55372712,90.0,90.0,90.0,cubic,Pm-3m,2.5e-05,-3.17240839,-0.308992057,0.677665879,False,4.105067105,0.0,False,281.4913563,18.404,9.183
mp-1013549,Ba3BiN,5,Ba3 Bi1 N1,5.61211,5.61211,5.61211,90.0,90.0,90.0,cubic,Pm-3m,0.0005392,-4.389537518,-0.792490143,0.05635722,False,5.965165267,0.0,False,176.7577743,35.813,25.706
mp-1013710,Ba3BiN,5,Ba3 Bi1 N1,6.61,6.61,6.61,90.0,90.0,90.0,cubic,Pm-3m,0.0009361,-2.978451112,0.618596263,1.467443626,False,3.650872165,0.0,False,288.804781,3.969999999999999,6.834
mp-1013713,Ba3BiP,5,Ba3 Bi1 P1,6.54121913,6.54121913,6.54121913,90.0,90.0,90.0,cubic,Pm-3m,1.12e-05,-3.163351586,-0.150865055,0.795238897,False,3.867919333,0.0,False,279.8827256,18.193,8.855
mp-1013584,Ba3BiSb,5,Ba3 Bi1 Sb1,6.537631,6.537631,6.537631,90.0,90.0,90.0,cubic,Pm-3m,0.000198,-3.419603402,-0.664411328,0.336802108,False,4.413811908,0.0,False,279.4223963,20.003,11.101
mp-1013719,Ba3BiSb,5,Ba3 Bi1 Sb1,6.586375,6.586375,6.586375,90.0,90.0,90.0,cubic,Pm-3m,0.0003835,-3.285428436,-0.530236362,0.470977074,False,4.316539039,0.0,False,285.7191582,19.129,9.944
mp-13288,Ba3LiN,10,Ba3 Li1 N1,8.289066234,8.289066234,6.942235,90.0,90.0,120.0000019,hex_,P6_3/mmc,1.312898,-3.50806923,-0.307244144,0.027976387,False,3.480601607,0.0,False,413.0866446,12.86,-23940089461.772
mp-8868,Ba3NaN,10,Ba3 Na1 N1,8.543396245,8.543394286,6.98639627,90.00001887,89.99999685,120.0000188,hex_,P6_3/mmc,0.0054364,-3.419354647,-0.331969978,0.0,True,3.376438755,0.0,False,441.6159639,-375667899.352,103079683.762
mp-1013533,Ba3PN,5,Ba3 P1 N1,5.450726,5.450726,5.450726,90.0,90.0,90.0,cubic,Pm-3m,6.29e-05,-4.538411764,-0.636276546,0.139411427,False,4.685604402,0.0,False,161.9433257,40.54,27.282
mp-1013714,Ba3SbAs,5,Ba3 Sb1 As1,6.492956,6.492956,6.492956,90.0,90.0,90.0,cubic,Pm-3m,0.0001084,-3.370630302,-0.459420584,0.623198343,False,3.692311515,0.0,False,273.7331402,19.616,10.293
mp-1013708,Ba3SbN,5,Ba3 Sb1 N1,6.52,6.52,6.52,90.0,90.0,90.0,cubic,Pm-3m,0.0007933,-3.173536556,0.471304205,1.396917151,False,3.281609293,0.0,False,277.167808,17.51,7.688
mp-1013712,Ba3SbP,5,Ba3 Sb1 P1,6.483458,6.483458,6.483458,90.0,90.0,90.0,cubic,Pm-3m,0.0032569,-3.363138898,-0.302858981,0.73575235,False,3.440789725,0.0,False,272.5336329,19.718,10.005
mp-754940,Ba3SiO,5,Ba3 Si1 O1,5.423827,5.423827,5.423827,90.0,90.0,90.0,cubic,Pm-3m,6.93e-05,-4.491329226,-1.265288455,0.051504253,False,4.746344015,0.0,False,159.5575966,39.278,26.756
mp-29243,Ba3SnO,5,Ba3 Sn1 O1,5.50211613,5.50211613,5.50211613,90.0,90.0,90.0,cubic,Pm-3m,1.4e-06,-4.474396678,-1.531505142,0.0,True,5.45006005,0.0,False,166.5671127,36.771,25.902
mp-23438,BaBiO3,10,Ba1 Bi1 O3,6.261625709,6.261625709,6.261625709,60.0,60.0,60.0,cubic,Fm-3m,0.0002449,-6.339119297,-2.208540844,0.024886167,False,7.543375453,0.0,False,173.5986382,109.77,56.631
mp-559051,BaBiO3,20,Ba1 Bi1 O3,6.17435169,6.217179422,8.71828688,90.25395528,90.0,90.0,mono,P2_1/c,0.0,-6.364005464,-2.233427011,0.0,True,7.825829473,0.0,False,334.6660467,106.167,49.331
mp-2506699,BaCO3,10,Ba1 C1 O3,5.31525123,4.574121851,6.913922442,70.53848339,90.0,90.0,mono,P2_1/m,0.0,-7.866087237,-2.667782548,0.015460144,False,4.135037254,4.4437,False,158.4914239,49.604,21.994
mp-2626703,BaCO3,10,Ba1 C1 O3,4.18679167,5.46618774,7.29521311,90.0,90.0,90.0,ortho,Imm2,0.0,-7.837690545,-2.639385855,0.043856836,False,3.925376476,4.1754,False,166.9567101,50.172,19.045
mp-5504,BaCO3,20,Ba1 C1 O3,5.35922589,6.41636356,8.97996254,90.0,90.0,90.0,ortho,Pnma,0.0,-7.881547381,-2.683242692,0.0,True,4.24472577,4.3974,False,308.7916524,51.872,21.914
mp-5663,BaCeO3,5,Ba1 Ce1 O3,4.474193,4.474193,4.474193,90.0,90.0,90.0,cubic,Pm-3m,0.0001896,-8.089464422,-3.549502857,0.040333896,False,6.033613518,2.299,False,89.56619858,111.403,52.386
mp-22346,BaGe3Pt,5,Ba1 Ge3 Pt1,4.599647445,4.599647233,6.088497611,112.1985307,112.1985284,90.04224809,tet,I4mm,0.0,-5.004205486,-0.632367121,0.0,True,8.394102908,0.0,False,108.8676342,74.417,40.321
mp-1016823,BaGeO3,5,Ba1 Ge1 O3,3.980389,3.980389,3.980389,90.0,90.0,90.0,cubic,Pm-3m,0.0015562,-6.740814964,-2.463637802,0.23236341,False,6.79256289,0.0,False,63.06327955,137.118,103.37
mp-998552,BaHfO3,5,Ba1 Hf1 O3,4.170042393,4.169091207,4.170376634,89.9994643,89.99434031,89.99884047,cubic,Pm-3m,0.0,-9.130724048,-3.786714651,0.0,True,8.332451499,3.5394,False,72.50319462,159.196,102.329
mp-10250,BaLiF3,5,Ba1 Li1 F3,3.98858164,3.98858164,3.98858164,90.0,90.0,90.0,cubic,Pm-3m,0.0,-5.65533203,-3.742865088,0.02190322,False,5.266935917,6.5643,True,63.45348178,69.602,42.339
mp-632808,BaLiH3,5,Ba1 Li1 H3,5.065786,5.065786,5.065786,90.0,90.0,90.0,cubic,Pm-3m,0.0,-2.791583514,0.011095911,0.620587922,False,1.881426287,1.1987,False,129.9991517,16.673000000000002,6.439
mp-3020,BaNbO3,5,Ba1 Nb1 O3,4.13357283,4.13357283,4.13357283,90.0,90.0,90.0,cubic,Pm-3m,8e-07,-8.55158716,-3.178754561,0.0,True,6.541520966,0.0,False,70.62797942,167.842,89.357
mp-11879,BaNiSn3,5,Ba1 Ni1 Sn3,6.481813811,6.481813811,6.481813811,136.1742433,136.1742433,63.71106718,tet,I4mm,0.0,-4.42089505,-0.475329613,0.0,True,7.115072162,0.0,False,128.862686,46.496,31.724
mp-8557,BaPaO3,5,Ba1 Pa1 O3,4.49381653,4.49385515,4.49383447,90.0,90.0,90.0,cubic,Pm-3m,1.0003132,-8.825384122,-3.563953095,0.0,True,7.618469716,0.0,False,90.75101234,109.369,41.577
mp-561598,BaPbO3,5,Ba1 Pb1 O3,4.670138,4.670138,4.670138,90.0,90.0,90.0,cubic,Pm-3m,2.96e-05,-5.108779098,-1.013678093,1.09517206,False,6.399226751,0.0,False,101.8565922,61.735,17.699
mp-7143,BaPuO3,5,Ba1 Pu1 O3,4.38110308,4.3811021,4.38110112,90.0,90.0,90.0,cubic,Pm-3m,4.0,-9.619879698,-3.319721611,0.024340284,False,8.477842719,0.0,False,84.09111734,118.683,56.229
